AEE,Ameren Corp.,Utilities,Utilities - Regulated Electric,USA
AEG,Aegon Ltd.,Financial,Insurance - Diversified,Netherlands
AEIS,Advanced Energy Industries Inc.,Industrials,Electrical Equipment & Parts,USA
AEL,American Equity Investment Life Holding Co,Financial,Insurance - Life,USA
AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,Canada
AEO,American Eagle Outfitters Inc.,Consumer Cyclical,Apparel Retail,USA
AEP,American Electric Power Company Inc.,Utilities,Utilities - Regulated Electric,USA
AER,Aercap Holdings N.V.,Industrials,Rental & Leasing Services,Ireland
AES,AES Corp.,Utilities,Utilities - Diversified,USA
AFG,American Financial Group Inc,Financial,Insurance - Property & Casualty,USA
AFL,Aflac Inc.,Financial,Insurance - Life,USA
AFRM,Affirm Holdings Inc,Technology,Software - Infrastructure,USA
AG,First Majestic Silver Corporation,Basic Materials,Silver,Canada
AGCO,AGCO Corp.,Industrials,Farm & Heavy Construction Machinery,USA
AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada
AGIO,Agios Pharmaceuticals Inc,Healthcare,Biotechnology,USA
AGL,Agilon Health Inc,Healthcare,Medical Care Facilities,USA
AGM,Federal Agricultural Mortgage Corp.,Financial,Credit Services,USA
AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage,USA
AGR,Avangrid Inc,Utilities,Utilities - Regulated Electric,USA
AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg
AGTI,Agiliti Inc,Healthcare,Health Information Services,USA
AGYS,Agilysys,,,
AHH,Armada Hoffler Properties Inc,Real Estate,REIT - Diversified,USA
AI,C3.ai Inc,Technology,Software - Application,USA
AIG,American International Group Inc,Financial,Insurance - Diversified,USA
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA
AIR,AAR Corp.,Industrials,Aerospace & Defense,USA
AIRC,Apartment Income REIT Corp,Real Estate,REIT - Residential,USA
AIT,Applied Industrial Technologies Inc.,Industrials,Industrial Distribution,USA
AIV,Apartment Investment & Management Co.,Real Estate,REIT - Residential,USA
AIZ,Assurant Inc,Financial,Insurance - Specialty,USA
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA
AKRO,Akero Therapeutics Inc,Healthcare,Biotechnology,USA
AL,Air Lease Corp,Industrials,Rental & Leasing Services,USA
ALB,Albemarle Corp.,Basic Materials,Specialty Chemicals,USA
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland
ALE,Allete,,,
ALEX,Alexander & Baldwin Inc.,Real Estate,REIT - Retail,USA
ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,USA
ALGM,Allegro Microsystems Inc.,Technology,Semiconductors,USA
ALGN,Align Technology,,,
ALGT,Allegiant Travel,Industrials,Airlines,USA
ALHC,Alignment Healthcare Inc,Healthcare,Healthcare Plans,USA
ALIT,Alight Inc.,Technology,Software - Application,USA
ALK,Alaska Air Group Inc.,Industrials,Airlines,USA
ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland
ALKT,Alkami Technology Inc,Technology,Software - Application,USA
ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland
ALLY,Ally Financial Inc,Financial,Credit Services,USA
ALNY,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology,USA
ALPN,Alpine Immune Sciences Inc,Healthcare,Biotechnology,USA
ALRM,Alarm.com Holdings Inc,Technology,Software - Application,USA
ALSN,Allison Transmission Holdings Inc,Consumer Cyclical,Auto Parts,USA
ALTR,Altair Engineering Inc,Technology,Software - Infrastructure,USA
ALV,Autoliv Inc.,Consumer Cyclical,Auto Parts,Sweden
ALVO,Alvotech,Healthcare,Drug Manufacturers - Specialty & Generic,Luxembourg
ALX,Alexander's Inc.,Real Estate,REIT - Retail,USA
AM,Antero Midstream Corp,Energy,Oil & Gas Midstream,USA
AMAM,Ambrx Biopharma Inc.,Healthcare,Biotechnology,USA
AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,USA
AMBA,Ambarella Inc,Technology,Semiconductor Equipment & Materials,USA
AMBP,Ardagh Metal Packaging S.A.,Consumer Cyclical,Packaging & Containers,Luxembourg
AMC,AMC Entertainment Holdings Inc,Communication Services,Entertainment,USA
AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,United Kingdom
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,USA
AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA
AMED,Amedisys Inc.,Healthcare,Medical Care Facilities,USA
AMEH,Apollo Medical Holdings Inc,Healthcare,Medical Care Facilities,USA
AMG,Affiliated Managers Group Inc.,Financial,Asset Management,USA
AMGN,AMGEN Inc.,Healthcare,Drug Manufacturers - General,USA
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA
AMK,Assetmark Financial Holdings Inc,Financial,Asset Management,USA
AMKR,AMKOR Technology Inc.,Technology,Semiconductor Equipment & Materials,USA
AMLX,Amylyx Pharmaceuticals Inc,Healthcare,Biotechnology,USA
AMN,AMN Healthcare Services Inc.,Healthcare,Medical Care Facilities,USA
AMP,Ameriprise Financial Inc,Financial,Asset Management,USA
AMPH,Amphastar Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA
AMPL,Amplitude Inc,Technology,Software - Application,USA
AMR,Alpha Metallurgical Resources Inc,Basic Materials,Coking Coal,USA
AMRC,Ameresco Inc.,Industrials,Engineering & Construction,USA
AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA
AMT,American Tower Corp.,Real Estate,REIT - Specialty,USA
AMWD,American Woodmark Corp.,Consumer Cyclical,Furnishings,
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,USA
AN,Autonation Inc.,Consumer Cyclical,Auto & Truck Dealerships,USA
ANDE,Andersons Inc.,Consumer Defensive,Food Distribution,USA
ANET,Arista Networks Inc,Technology,Computer Hardware,USA
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,USA
ANGI,Angi Inc,Communication Services,Internet Content & Information,USA
ANIP,ANI Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA
ANSS,Ansys Inc.,Technology,Software - Application,USA
AON,Aon plc.,Financial,Insurance Brokers,Ireland
AOS,A.O. Smith Corp.,Industrials,Specialty Industrial Machinery,USA
APA,APA Corporation,Energy,Oil & Gas E&P,USA
APAM,Artisan Partners Asset Management Inc,Financial,Asset Management,USA
APD,Air Products & Chemicals Inc.,Basic Materials,Specialty Chemicals,USA
APG,APi Group Corporation,Industrials,Engineering & Construction,USA
APGE,Apogee Therapeutics Inc.,Healthcare,Biotechnology,USA
APH,Amphenol Corp.,Technology,Electronic Components,USA
APLE,Apple Hospitality REIT Inc,Real Estate,REIT - Hotel & Motel,USA
APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,USA
APO,Apollo Global Management Inc,Financial,Asset Management,USA
APOG,Apogee Enterprises Inc.,Industrials,Building Products & Equipment,USA
APP,Applovin Corp,Technology,Software - Application,USA
APPF,Appfolio Inc,Technology,Software - Application,USA
APPN,Appian Corp,Technology,Software - Infrastructure,USA
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland
AQN,Algonquin Power & Utilities Corp,Utilities,Utilities - Renewable,Canada
AQNU,Algonquin Power & Utilities Corp,Utilities,Utilities - Renewable,Canada
AR,Antero Resources Corp,Energy,Oil & Gas E&P,USA
ARCB,ArcBest Corp,Industrials,Trucking,USA
ARCC,Ares Capital Corporation,Financial,Asset Management,USA
ARCH,Arch Resources Inc,Basic Materials,Coking Coal,USA
ARCO,Arcos Dorados Holdings Inc,Consumer Cyclical,Restaurants,USA
ARDX,Ardelyx Inc,Healthcare,Biotechnology,USA
ARE,Alexandria Real Estate Equities Inc.,Real Estate,REIT - Office,USA
ARES,Ares Management Corp,Financial,Asset Management,USA
ARGX,Argen X SE ADR,Healthcare,Biotechnology,Netherlands
ARHS,Arhaus Inc,Consumer Cyclical,Home Improvement Retail,USA
ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,REIT - Mortgage,USA
ARLP,Alliance Resource Partners,,,
ARM,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom
ARMK,Aramark,Industrials,Specialty Business Services,USA
AROC,Archrock Inc,Energy,Oil & Gas Equipment & Services,USA
ARRY,Array Technologies Inc,Technology,Solar,USA
ARVN,Arvinas Inc,Healthcare,Biotechnology,USA
ARW,Arrow Electronics Inc.,Technology,Electronics & Computer Distribution,USA
ARWR,Arrowhead Pharmaceuticals Inc.,Healthcare,Biotechnology,USA
ASAN,Asana Inc,Technology,Software - Application,USA
ASB,Associated Banc-Corp.,Financial,Banks - Regional,USA
ASGN,ASGN Inc,Technology,Information Technology Services,USA
ASH,Ashland Inc,Basic Materials,Specialty Chemicals,USA
ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands
ASND,Ascendis Pharma A/S ADR,Healthcare,Biotechnology,Denmark
ASO,Academy Sports and Outdoors Inc,Consumer Cyclical,Specialty Retail,USA
ASPN,Aspen Aerogels Inc.,Industrials,Building Products & Equipment,USA
ATEC,Alphatec Holdings Inc,Healthcare,Medical Devices,USA
ATGE,Adtalem Global Education Inc,Consumer Defensive,Education & Training Services,USA
ATI,ATI Inc,Industrials,Metal Fabrication,USA
ATKR,Atkore Inc,Industrials,Electrical Equipment & Parts,USA
ATMU,Atmus Filtration Technologies Inc,Industrials,Pollution & Treatment Controls,USA
ATO,Atmos Energy Corp.,Utilities,Utilities - Regulated Gas,USA
ATR,Aptargroup Inc.,Healthcare,Medical Instruments & Supplies,USA
ATRC,Atricure Inc,Healthcare,Medical Instruments & Supplies,USA
ATS,ATS Corporation.,Industrials,Specialty Industrial Machinery,Canada
ATSG,Air Transport Services Group Inc,Industrials,Airlines,USA
ATUS,Altice USA Inc,Communication Services,Telecom Services,USA
AU,AngloGold Ashanti Plc.,Basic Materials,Gold,United Kingdom
AUB,Atlantic Union Bankshares Corp,Financial,Banks - Regional,USA
AUPH,Aurinia Pharmaceuticals Inc,Healthcare,Biotechnology,Canada
AUR,Aurora Innovation Inc,Technology,Information Technology Services,USA
AUTL,Autolus Therapeutics plc ADR,Healthcare,Biotechnology,United Kingdom
AVA,Avista Corp.,Utilities,Utilities - Diversified,USA
AVAV,AeroVironment Inc.,Industrials,Aerospace & Defense,USA
AVB,Avalonbay Communities Inc.,Real Estate,REIT - Residential,USA
AVDL,Avadel Pharmaceuticals plc ADR,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland
AVDX,AvidXchange Holdings Inc,Technology,Software - Infrastructure,USA
AVGO,Broadcom Inc,Technology,Semiconductors,USA
AVNT,Avient Corp,Basic Materials,Specialty Chemicals,USA
AVPT,AvePoint Inc,Technology,Software - Infrastructure,USA
AVT,Avnet Inc.,Technology,Electronics & Computer Distribution,USA
AVTR,Avantor Inc.,Basic Materials,Specialty Chemicals,USA
AVY,Avery Dennison Corp.,Consumer Cyclical,Packaging & Containers,USA
AWI,Armstrong World Industries Inc.,Industrials,Building Products & Equipment,USA
AWK,American Water Works Co. Inc.,Utilities,Utilities - Regulated Water,USA
AWR,American States Water Co.,Utilities,Utilities - Regulated Water,USA
AX,Axos Financial Inc.,Financial,Banks - Regional,USA
AXNX,Axonics Inc,Healthcare,Medical Devices,USA
AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense,USA
AXP,American Express Co.,Financial,Credit Services,USA
AXSM,Axsome Therapeutics Inc,Healthcare,Biotechnology,USA
AXTA,Axalta Coating Systems Ltd,Basic Materials,Specialty Chemicals,USA
AY,Atlantica Sustainable Infrastructure Plc,Utilities,Utilities - Renewable,United Kingdom
AYI,Acuity Brands,,,
AYX,Alteryx Inc,Technology,Software - Application,USA
AZEK,AZEK Company Inc,Industrials,Building Products & Equipment,USA
AZN,Astrazeneca plc ADR,Healthcare,Drug Manufacturers - General,United Kingdom
AZO,Autozone Inc.,Consumer Cyclical,Specialty Retail,USA
AZPN,Aspen Technology Inc,Technology,Software - Application,USA
AZTA,Azenta Inc,Healthcare,Medical Instruments & Supplies,USA
AZZ,AZZ Inc,Industrials,Specialty Business Services,USA
B,Barnes Group Inc.,Industrials,Specialty Industrial Machinery,USA
BA,Boeing Co.,Industrials,Aerospace & Defense,USA
BAC,Bank Of America Corp.,Financial,Banks - Diversified,USA
BAH,Booz Allen Hamilton Holding Corp,Industrials,Consulting Services,USA
BALL,Ball Corp.,Consumer Cyclical,Packaging & Containers,USA
BAM,Brookfield Asset Management Ltd,Financial,Asset Management,Canada
BANC,Banc of California Inc,Financial,Banks - Regional,USA
BANF,Bancfirst Corp.,Financial,Banks - Regional,USA
BANR,Banner Corp.,Financial,Banks - Regional,USA
BASE,Couchbase Inc,Technology,Software - Infrastructure,USA
BATRA,Atlanta Braves Holdings Inc,Communication Services,Entertainment,USA
BATRK,Atlanta Braves Holdings Inc,Communication Services,Entertainment,USA
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA
BB,BlackBerry Ltd,Technology,Software - Infrastructure,Canada
BBIO,BridgeBio Pharma Inc,Healthcare,Biotechnology,USA
BBU,Brookfield Business Partners L.P.,Industrials,Conglomerates,Canada
BBUC,Brookfield Business Corp,Financial,Asset Management,USA
BBVA,Banco Bilbao Vizcaya Argentaria. ADR,Financial,Banks - Diversified,Spain
BBWI,Bath & Body Works Inc,Consumer Cyclical,Specialty Retail,USA
BBY,Best Buy Co. Inc.,Consumer Cyclical,Specialty Retail,USA
BC,Brunswick Corp.,Consumer Cyclical,Recreational Vehicles,USA
BCC,Boise Cascade Co,Basic Materials,Building Materials,USA
BCE,BCE Inc,Communication Services,Telecom Services,Canada
BCO,Brink's Co.,Industrials,Security & Protection Services,USA
BCPC,Balchem Corp.,Basic Materials,Specialty Chemicals,USA
BCRX,Biocryst Pharmaceuticals Inc.,Healthcare,Biotechnology,USA
BCS,Barclays plc ADR,Financial,Banks - Diversified,United Kingdom
BCSF,Bain Capital Specialty Finance Inc,Financial,Asset Management,USA
BDC,Belden Inc,Technology,Communication Equipment,USA
BDX,Becton Dickinson & Co.,Healthcare,Medical Instruments & Supplies,USA
BE,Bloom Energy Corp,Industrials,Electrical Equipment & Parts,USA
BEAM,Beam Therapeutics Inc,Healthcare,Biotechnology,USA
BECN,Beacon Roofing Supply Inc,Industrials,Industrial Distribution,USA
BEN,Franklin Resources,,,
BEPC,Brookfield Renewable Corporation,Utilities,Utilities - Renewable,USA
BERY,Berry Global Group Inc,Consumer Cyclical,Packaging & Containers,USA
BF-A,Brown-Forman Corp.,Consumer Defensive,Beverages - Wineries & Distilleries,USA
BF-B,Brown-Forman Corp.,Consumer Defensive,Beverages - Wineries & Distilleries,USA
BFAM,Bright Horizons Family Solutions,,,
BFH,Bread Financial Holdings Inc,Financial,Credit Services,USA
BG,Bunge Global SA,Consumer Defensive,Farm Products,Switzerland
BGC,BGC Group Inc,Financial,Capital Markets,USA
BHC,Bausch Health Companies Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada
BHF,Brighthouse Financial Inc,Financial,Insurance - Life,USA
BHLB,Berkshire Hills Bancorp Inc.,Financial,Banks - Regional,USA
BHVN,Biohaven Ltd,Healthcare,Biotechnology,USA
BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General,USA
BILL,BILL Holdings Inc,Technology,Software - Application,USA
BIO,Bio-Rad Laboratories Inc.,Healthcare,Medical Devices,USA
BIPC,Brookfield Infrastructure Corp,Utilities,Utilities - Regulated Gas,USA
BIRK,Birkenstock Holding Plc,Consumer Cyclical,Footwear & Accessories,United Kingdom
BJ,BJ's Wholesale Club Holdings Inc,Consumer Defensive,Discount Stores,USA
BK,Bank Of New York Mellon Corp,Financial,Asset Management,USA
BKD,Brookdale Senior Living Inc,Healthcare,Medical Care Facilities,USA
BKE,Buckle,,,
BKH,Black Hills Corporation,Utilities,Utilities - Diversified,USA
BKNG,Booking Holdings Inc,Consumer Cyclical,Travel Services,USA
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,USA
BKU,BankUnited Inc,Financial,Banks - Regional,USA
BL,BlackLine Inc,Technology,Software - Application,USA
BLCO,Bausch + Lomb Corp,Healthcare,Medical Instruments & Supplies,Canada
BLD,TopBuild Corp,Industrials,Engineering & Construction,USA
BLDP,Ballard Power Systems Inc.,Industrials,Specialty Industrial Machinery,Canada
BLDR,Builders Firstsource Inc,Industrials,Building Products & Equipment,USA
BLK,Blackrock Inc.,Financial,Asset Management,USA
BLKB,Blackbaud Inc,Technology,Software - Application,USA
BLMN,Bloomin Brands Inc,Consumer Cyclical,Restaurants,USA
BLTE,Belite Bio Inc ADR,Healthcare,Biotechnology,USA
BMBL,Bumble Inc,Technology,Software - Application,USA
BMI,Badger Meter Inc.,Technology,Scientific & Technical Instruments,USA
BMO,Bank of Montreal,Financial,Banks - Diversified,USA
BMRN,Biomarin Pharmaceutical Inc.,Healthcare,Biotechnology,USA
BMY,Bristol-Myers Squibb Co.,Healthcare,Drug Manufacturers - General,USA
BN,Brookfield Corporation,Financial,Asset Management,Canada
BNL,Broadstone Net Lease Inc,Real Estate,REIT - Diversified,USA
BNS,Bank Of Nova Scotia,Financial,Banks - Diversified,Canada
BNTX,BioNTech SE ADR,Healthcare,Biotechnology,Germany
BODY,Beachbody Company Inc,Communication Services,Internet Content & Information,USA
BOH,Bank of Hawaii Corp.,Financial,Banks - Regional,USA
BOKF,BOK Financial Corp.,Financial,Banks - Regional,USA
BOOT,Boot Barn Holdings Inc,Consumer Cyclical,Apparel Retail,USA
BOWL,Bowlero Corp,Consumer Cyclical,Leisure,USA
BOX,Box Inc,Technology,Software - Infrastructure,USA
BP,BP plc ADR,Energy,Oil & Gas Integrated,United Kingdom
BPMC,Blueprint Medicines Corp,Healthcare,Biotechnology,USA
BPOP,Popular Inc.,Financial,Banks - Regional,USA
BR,Broadridge Financial Solutions,,,
BRBR,Bellring Brands Inc,Consumer Defensive,Packaged Foods,USA
BRC,Brady Corp.,Industrials,Security & Protection Services,USA
BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA
BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA
BRKR,Bruker Corp,Healthcare,Medical Devices,USA
BRO,Brown & Brown,,,
BROS,Dutch Bros Inc,Consumer Cyclical,Restaurants,USA
BRP,BRP Group Inc,Financial,Insurance Brokers,USA
BRX,Brixmor Property Group Inc,Real Estate,REIT - Retail,USA
BRZE,Braze Inc,Technology,Software - Application,USA
BSM,Black Stone Minerals,,,
BSX,Boston Scientific Corp.,Healthcare,Medical Devices,USA
BSY,Bentley Systems Inc,Technology,Software - Application,USA
BTE,Baytex Energy Corp,Energy,Oil & Gas E&P,Canada
BTG,B2gold Corp,Basic Materials,Gold,Canada
BTI,British American Tobacco Plc ADR,Consumer Defensive,Tobacco,United Kingdom
BTU,Peabody Energy Corp.,Energy,Thermal Coal,USA
BUD,Anheuser-Busch InBev SA/NV ADR,Consumer Defensive,Beverages - Brewers,Belgium
BUR,Burford Capital Limited,Financial,Asset Management,United Kingdom
BURL,Burlington Stores Inc,Consumer Cyclical,Apparel Retail,USA
BUSE,First Busey Corp.,Financial,Banks - Regional,USA
BVH,Bluegreen Vacations Holding Corporation,Consumer Cyclical,Resorts & Casinos,USA
BWA,BorgWarner Inc,Consumer Cyclical,Auto Parts,USA
BWXT,BWX Technologies Inc,Industrials,Aerospace & Defense,USA
BX,Blackstone Inc,Financial,Asset Management,USA
BXMT,Blackstone Mortgage Trust Inc,Real Estate,REIT - Mortgage,USA
BXP,Boston Properties,,,
BXSL,Blackstone Secured Lending Fund,Financial,Asset Management,USA
BYD,Boyd Gaming Corp.,Consumer Cyclical,Resorts & Casinos,USA
BYON,Beyond Inc,Consumer Cyclical,Internet Retail,USA
C,Citigroup Inc,Financial,Banks - Diversified,USA
CAAP,Corporacion America Airports S.A.,Industrials,Airports & Air Services,Luxembourg
CABA,Cabaletta Bio Inc,Healthcare,Biotechnology,USA
CABO,Cable One Inc,Communication Services,Telecom Services,USA
CACC,Credit Acceptance Corp.,Financial,Credit Services,USA
CACI,Caci International Inc.,Technology,Information Technology Services,USA
CADE,Cadence Bank,Financial,Banks - Regional,USA
CAE,Cae Inc.,Industrials,Aerospace & Defense,Canada
CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods,USA
CAH,Cardinal Health,,,
CAKE,Cheesecake Factory Inc.,Consumer Cyclical,Restaurants,USA
CAL,Caleres Inc,Consumer Cyclical,Apparel Retail,USA
CALM,Cal-Maine Foods,,,
CALX,Calix Inc,Technology,Software - Application,USA
CAR,Avis Budget Group Inc,Industrials,Rental & Leasing Services,USA
CARG,CarGurus Inc,Consumer Cyclical,Auto & Truck Dealerships,USA
CARR,Carrier Global Corp,Industrials,Building Products & Equipment,USA
CARS,Cars.com,Consumer Cyclical,Auto & Truck Dealerships,USA
CART,Maplebear Inc.,Consumer Cyclical,Internet Retail,USA
CASH,Pathward Financial Inc,Financial,Banks - Regional,USA
CASY,Casey's General Stores,,,
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA
CATY,Cathay General Bancorp,Financial,Banks - Regional,USA
CAVA,Cava Group Inc,Consumer Cyclical,Restaurants,USA
CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland
CBAY,Cymabay Therapeutics Inc,Healthcare,Biotechnology,USA
CBOE,Cboe Global Markets Inc.,Financial,Financial Data & Stock Exchanges,USA
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,USA
CBRL,Cracker Barrel Old Country Store Inc,Consumer Cyclical,Restaurants,USA
CBSH,Commerce Bancshares,,,
CBT,Cabot Corp.,Basic Materials,Specialty Chemicals,USA
CBU,Community Bank System,,,
CBZ,Cbiz Inc,Industrials,Specialty Business Services,USA
CC,Chemours Company,Basic Materials,Specialty Chemicals,USA
CCCS,CCC Intelligent Solutions Holdings Inc,Technology,Software - Infrastructure,USA
CCEP,Coca-Cola Europacific Partners Plc,Consumer Defensive,Beverages - Non-Alcoholic,United Kingdom
CCI,Crown Castle Inc,Real Estate,REIT - Specialty,USA
CCJ,Cameco Corp.,Energy,Uranium,Canada
CCK,Crown Holdings,,,
CCL,Carnival Corp.,Consumer Cyclical,Travel Services,USA
CCOI,Cogent Communications Holdings Inc,Communication Services,Telecom Services,USA
CCS,Century Communities Inc,Consumer Cyclical,Residential Construction,USA
CDAY,Ceridian HCM Holding Inc.,Technology,Software - Application,USA
CDE,Coeur Mining Inc,Basic Materials,Gold,USA
CDLR,Cadeler AS ADR,Industrials,Marine Shipping,Denmark
CDNS,Cadence Design Systems,,,
CDP,COPT Defense Properties,Real Estate,REIT - Office,USA
CDRE,Cadre Holdings Inc,Industrials,Aerospace & Defense,USA
CDW,CDW Corp,Technology,Information Technology Services,USA
CE,Celanese Corp,Basic Materials,Chemicals,USA
CEF,Sprott Physical Gold and Silver Trust,Financial,Asset Management,Canada
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,USA
CEIX,Consol Energy Inc,Energy,Thermal Coal,USA
CELH,Celsius Holdings Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA
CENT,Central Garden & Pet Co.,Consumer Defensive,Packaged Foods,USA
CENTA,Central Garden & Pet Co.,Consumer Defensive,Packaged Foods,USA
CENX,Century Aluminum Co.,Basic Materials,Aluminum,USA
CERE,Cerevel Therapeutics Holdings Inc,Healthcare,Biotechnology,USA
CERT,Certara Inc,Healthcare,Health Information Services,USA
CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs,USA
CFG,Citizens Financial Group Inc,Financial,Banks - Regional,USA
CFLT,Confluent Inc,Technology,Software - Infrastructure,USA
CFR,Cullen Frost Bankers Inc.,Financial,Banks - Regional,USA
CG,Carlyle Group Inc,Financial,Asset Management,USA
CGAU,Centerra Gold Inc.,Basic Materials,Gold,Canada
CGNX,Cognex Corp.,Technology,Scientific & Technical Instruments,USA
CHCO,City Holding Co.,Financial,Banks - Regional,USA
CHD,Church & Dwight Co.,,,
CHDN,Churchill Downs,,,
CHE,Chemed Corp.,Healthcare,Medical Care Facilities,USA
CHEF,Chefs' Warehouse Inc,Consumer Defensive,Food Distribution,USA
CHGG,Chegg Inc,Consumer Defensive,Education & Training Services,USA
CHH,Choice Hotels International,,,
CHK,Chesapeake Energy Corp.,Energy,Oil & Gas E&P,USA
CHRD,Chord Energy Corp,Energy,Oil & Gas E&P,USA
CHRW,C.H. Robinson Worldwide,,,
CHTR,Charter Communications Inc.,Communication Services,Telecom Services,USA
CHWY,Chewy Inc,Consumer Cyclical,Internet Retail,USA
CHX,ChampionX Corp.,Energy,Oil & Gas Equipment & Services,USA
