Expiration Date,Stock Symbol,"('2024-08-12', 'Call')","('2024-08-12', 'Put')","('2024-08-13', 'Call')","('2024-08-13', 'Put')","('2024-08-14', 'Call')","('2024-08-14', 'Put')","('2024-08-15', 'Call')","('2024-08-15', 'Put')","('2024-08-16', 'Call')","('2024-08-16', 'Put')",Separator,2024-08-16 (Put/Call),2024-08-15 (Put/Call),Total Calls,Total Puts
2024-08-23,META,"1,081",0,"54,952","11,545","41,877","22,542","106,297","16,510","343,729","51,416",nan,0.15,0.16,"547,936","102,013"
2024-08-23,GOOG,0,"16,719","5,755",0,"163,328","4,337","6,815","2,330","200,074",0,nan,0.00,0.34,"375,972","23,386"
2024-08-23,MSFT,"21,245","3,956","12,379",0,"22,596","1,450","20,310","1,629","115,989",962,nan,0.01,0.08,"192,519","7,997"
2024-08-30,TSLA,"16,213","2,286","156,513","19,720","106,070","5,317","179,087","109,978","111,118","22,850",nan,0.21,0.61,"569,001","160,151"
2024-08-30,NVDA,"16,513","9,228","58,768",0,"80,884","103,887","301,922","279,332",0,0,nan,0.00,0.93,"458,087","392,447"
2024-08-30,AMZN,0,0,"15,254",0,"5,830",0,"10,920","6,467","43,131",0,nan,0.00,0.59,"75,135","6,467"
2024-08-30,META,0,0,"22,375",0,0,"1,286",0,795,0,0,nan,0.00,0.00,"22,375","2,081"
2024-08-30,GOOG,0,0,0,0,"8,803",0,0,0,"1,829",0,nan,0.00,0.00,"10,632",0
2024-08-30,AAPL,0,0,"1,132",0,"2,059","3,093","1,545","5,179","2,654","1,202",nan,0.45,3.35,"7,390","9,474"
2024-08-30,MSFT,0,0,0,0,0,0,"2,279",0,0,0,nan,0.00,0.00,"2,279",0
2024-09-06,NVDA,0,0,"6,403",0,"317,960","1,335","4,783","7,141","30,661",0,nan,0.00,1.49,"359,807","8,476"
2024-09-06,TSLA,"14,890",0,"63,655",0,"1,982","5,514","20,321","8,729","1,669",0,nan,0.00,0.43,"102,517","14,243"
2024-09-06,AMZN,0,0,0,0,0,0,"77,370","1,298",0,0,nan,0.00,0.02,"77,370","1,298"
2024-09-06,GOOG,0,0,0,0,0,0,"1,070",0,0,0,nan,0.00,0.00,"1,070",0
2024-09-06,META,0,0,763,0,0,0,0,0,0,0,nan,0.00,0.00,763,0
2024-09-06,AAPL,0,0,0,0,0,0,0,842,0,0,nan,0.00,0.00,0,842
2024-09-13,TSLA,0,0,"5,721",616,"14,618","2,431","153,383",0,0,"1,101",nan,0.00,0.00,"173,722","4,148"
2024-09-13,AAPL,0,0,"52,082","104,137",0,0,0,0,0,"1,622",nan,0.00,0.00,"52,082","105,759"
2024-09-13,NVDA,"1,131","1,545","1,103",0,"2,950","3,261",809,0,"1,850",0,nan,0.00,0.00,"7,843","4,806"
2024-09-13,AMZN,0,0,0,0,0,0,"1,837",0,0,0,nan,0.00,0.00,"1,837",0
2024-09-13,GOOG,0,0,0,0,0,0,0,0,0,"3,663",nan,0.00,0.00,0,"3,663"
2024-09-20,TSLA,0,0,0,0,0,920,"39,233","43,240",0,0,nan,0.00,1.10,"39,233","44,160"
2024-09-20,MSFT,0,0,0,0,"3,000",0,"5,109",0,0,0,nan,0.00,0.00,"8,109",0
2024-09-20,META,0,0,0,0,0,0,0,"2,316",0,0,nan,0.00,0.00,0,"2,316"
2024-09-20,NVDA,0,0,0,0,0,"58,001",0,0,0,0,nan,0.00,0.00,0,"58,001"
2024-09-27,AAPL,0,0,0,0,577,0,"92,326",0,0,0,nan,0.00,0.00,"92,903",0
2024-09-27,NVDA,"3,204",0,"2,080",0,0,"26,854",0,0,0,"1,087",nan,0.00,0.00,"5,284","27,941"
2024-09-27,TSLA,0,0,"1,429",0,0,0,"2,831",0,0,523,nan,0.00,0.00,"4,260",523
2024-09-27,GOOG,0,0,0,0,0,0,"1,141",0,0,0,nan,0.00,0.00,"1,141",0
2024-10-18,NVDA,0,0,0,0,"150,072",0,0,0,0,0,nan,0.00,0.00,"150,072",0
2024-10-18,TSLA,0,0,0,0,0,0,"68,170",0,0,0,nan,0.00,0.00,"68,170",0
2024-10-18,AMZN,0,0,"65,424",0,0,0,0,0,0,0,nan,0.00,0.00,"65,424",0
2024-10-18,GOOG,0,0,"11,383",0,0,0,0,0,0,0,nan,0.00,0.00,"11,383",0
2024-10-18,META,"3,114",0,0,"5,516","2,000",0,"2,403",0,0,0,nan,0.00,0.00,"7,517","5,516"
2024-10-18,MSFT,0,0,0,"8,303",0,0,0,0,0,0,nan,0.00,0.00,0,"8,303"
2024-11-15,TSLA,"40,031",0,0,0,"5,338",0,0,0,"14,138",0,nan,0.00,0.00,"59,507",0
2024-11-15,AMZN,0,0,0,0,0,0,"17,606",0,"3,256",0,nan,0.00,0.00,"20,862",0
2024-11-15,NVDA,"18,022",0,0,0,0,0,0,0,0,0,nan,0.00,0.00,"18,022",0
2024-11-15,META,0,0,0,0,0,0,"13,403",0,0,0,nan,0.00,0.00,"13,403",0
2024-11-15,MSFT,0,0,0,0,0,0,"7,240",0,0,0,nan,0.00,0.00,"7,240",0
2024-12-20,MSFT,"20,147",0,0,0,0,0,0,0,0,0,nan,0.00,0.00,"20,147",0
2024-12-20,AMZN,0,0,0,0,0,0,"2,683",0,"13,663",0,nan,0.00,0.00,"16,346",0
2024-12-20,GOOG,"2,000",0,0,0,"3,455",0,0,0,0,0,nan,0.00,0.00,"5,455",0
2024-12-20,TSLA,0,0,0,0,0,0,0,0,"2,984",0,nan,0.00,0.00,"2,984",0
2025-01-17,NVDA,0,0,0,0,0,0,0,0,769,0,nan,0.00,0.00,769,0
2025-02-21,TSLA,0,0,750,0,0,0,0,0,0,0,nan,0.00,0.00,750,0
2025-08-15,NVDA,"17,918","30,730",0,0,0,0,0,0,0,0,nan,0.00,0.00,"17,918","30,730"
2025-12-19,NVDA,0,0,600,0,0,0,0,0,0,0,nan,0.00,0.00,600,0
2026-06-18,AAPL,0,0,0,0,0,0,"20,420",0,0,0,nan,0.00,0.00,"20,420",0
2026-06-18,TSLA,0,0,0,"4,001",0,0,0,0,0,0,nan,0.00,0.00,0,"4,001"
2026-12-18,MSFT,0,0,0,0,"2,574",0,0,0,0,0,nan,0.00,0.00,"2,574",0
