Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility
2024-07-0215:59 EST,ANVS,9.28,Put,7.5,8535,2024-07-19,17,1.3,1.35,1.4,1.35,3517,2.43,301.36%
2024-07-0215:58 EST,GME,23.98,Call,100,861,2024-07-19,17,0.13,0.15,0.17,0.15,21915,0.04,301.16%
2024-07-0215:58 EST,ANVS,9.28,Put,10,1717,2024-07-19,17,2.8,2.9,3,2.8,3072,0.56,298.91%
2024-07-0214:43 EST,PATH,12.96,Put,19,830,2024-07-19,17,4.4,6,7.6,6,2008,0.41,290.70%
2024-07-0215:59 EST,ANVS,9.28,Put,5,7732,2024-07-19,17,0.3,0.35,0.4,0.35,12271,0.63,290.16%
2024-07-0215:40 EST,ANVS,9.28,Call,22.5,553,2024-07-19,17,0.1,0.43,0.75,0.3,297,1.86,287.17%
2024-07-0215:58 EST,OPTT,0.514,Call,2.5,826,2024-11-15,136,0.1,0.13,0.15,0.15,1476,0.56,279.55%
2024-07-0215:57 EST,FFIE,0.4342,Call,0.5,2252,2024-07-26,24,0.1,0.11,0.11,0.1,4364,0.52,277.75%
2024-07-0215:58 EST,ANVS,9.28,Call,5,1110,2024-07-19,17,4.1,4.35,4.6,4.2,900,1.23,277.56%
2024-07-0214:57 EST,GME,23.98,Call,85,796,2024-07-19,17,0.16,0.18,0.2,0.16,1714,0.46,276.90%
2024-07-0215:59 EST,GME,23.98,Call,80,527,2024-07-19,17,0.17,0.19,0.2,0.2,2956,0.18,275.85%
2024-07-0215:59 EST,OPTT,0.514,Call,2.5,2564,2025-02-21,234,0.2,0.23,0.25,0.24,2056,1.25,268.18%
2024-07-0215:58 EST,GME,23.98,Call,95,773,2024-07-26,24,0.23,0.24,0.24,0.24,3027,0.26,264.25%
2024-07-0215:50 EST,ANVS,9.28,Call,20,1109,2024-07-19,17,0.15,0.28,0.4,0.3,637,1.74,261.19%
2024-07-0215:59 EST,ANVS,9.28,Call,15,2483,2024-07-19,17,0.45,0.58,0.7,0.7,1793,1.38,258.76%
2024-07-0214:40 EST,OMEX,4.57,Put,3,869,2024-07-19,17,0.25,0.28,0.3,0.26,2286,0.38,258.18%
2024-07-0211:06 EST,SGMO,0.3201,Call,0.5,1506,2024-11-15,136,0.1,0.15,0.2,0.15,660,2.28,254.82%
2024-07-0215:59 EST,GME,23.98,Call,125,6814,2024-08-16,45,0.52,0.53,0.54,0.53,23899,0.29,251.33%
2024-07-0215:30 EST,MAXN,0.1799,Put,1.5,2784,2026-01-16,563,1.35,1.4,1.45,1.4,19364,0.14,250.94%
2024-07-0215:59 EST,ANVS,9.28,Call,10,4922,2024-07-19,17,1.3,1.58,1.85,1.65,6913,0.71,241.47%
2024-07-0215:47 EST,FFIE,0.4342,Call,0.5,789,2025-01-17,199,0.24,0.26,0.27,0.26,7279,0.11,237.94%
2024-07-0215:27 EST,LPSN,0.5755,Call,0.5,1502,2024-07-19,17,0.1,0.13,0.15,0.15,608,2.47,234.90%
2024-07-0215:59 EST,GME,23.98,Call,100,1187,2024-08-16,45,0.6,0.63,0.66,0.6,14692,0.08,232.24%
2024-07-0215:52 EST,WBA,11.57,Put,20,10495,2024-07-19,17,7.55,8.23,8.9,8.35,8410,1.25,225.62%
2024-07-0215:46 EST,GME,23.98,Call,90,1007,2024-08-16,45,0.63,0.72,0.81,0.65,4262,0.24,223.71%
2024-07-0215:37 EST,GME,23.98,Call,85,529,2024-08-16,45,0.64,0.73,0.81,0.74,882,0.6,222.92%
2024-07-0215:59 EST,UP,3.02,Put,2.5,1124,2024-07-19,17,0.25,0.3,0.35,0.3,170,6.61,222.32%
2024-07-0215:39 EST,ANVS,9.28,Put,2.5,1857,2024-10-18,108,0.3,0.4,0.5,0.35,2194,0.85,221.33%
2024-07-0215:45 EST,GME,23.98,Call,60,1220,2024-07-26,24,0.43,0.49,0.54,0.45,1980,0.62,219.78%
2024-07-0215:59 EST,ANVS,9.28,Call,12.5,4761,2024-07-19,17,0.8,1,1.2,0.8,1171,4.07,217.54%
2024-07-0214:47 EST,PATH,12.96,Put,21,1460,2024-07-19,17,6.35,7.48,8.6,7.95,1745,0.84,216.81%
2024-07-0215:59 EST,ANVS,9.28,Call,7.5,2738,2024-07-19,17,2.3,2.6,2.9,2.6,3297,0.83,215.65%
2024-07-0214:47 EST,PATH,12.96,Put,22,570,2024-08-16,45,8.05,9.38,10.7,8.95,509,1.12,215.62%
2024-07-0215:59 EST,GME,23.98,Call,50,1366,2024-07-19,17,0.35,0.38,0.4,0.38,18314,0.07,215.11%
2024-07-0215:19 EST,FFIE,0.4342,Call,1,862,2025-01-17,199,0.13,0.16,0.18,0.17,4679,0.18,213.22%
2024-07-0215:56 EST,TUP,1.47,Put,0.5,1010,2025-01-17,199,0.16,0.18,0.19,0.19,9694,0.1,213.18%
2024-07-0215:47 EST,ANVS,9.28,Put,5,1578,2024-10-18,108,1.25,1.33,1.4,1.27,5626,0.28,208.17%
2024-07-0214:30 EST,QURE,4.01,Call,4,503,2024-07-19,17,0.5,0.65,0.8,0.7,2110,0.24,201.95%
2024-07-0215:59 EST,GME,23.98,Call,60,1466,2024-08-16,45,1.02,1.09,1.15,1.12,4475,0.33,199.15%
2024-07-0215:46 EST,AMC,5.21,Call,11.5,2172,2024-07-26,24,0.1,0.11,0.12,0.1,2891,0.75,198.52%
2024-07-0215:52 EST,UP,3.02,Put,2.5,643,2024-11-15,136,0.75,0.93,1.1,0.98,5559,0.12,198.18%
2024-07-0215:55 EST,AMC,5.21,Call,22,1825,2024-09-20,80,0.19,0.2,0.2,0.2,8758,0.21,190.27%
2024-07-0214:34 EST,DJT,31.73,Put,30,523,2024-12-20,171,12.85,13.3,13.75,13.62,2582,0.2,189.59%
2024-07-0215:38 EST,AMC,5.21,Call,10,771,2024-07-26,24,0.12,0.13,0.14,0.14,9023,0.09,188.12%
2024-07-0215:59 EST,PBI,6.25,Call,4.5,504,2024-07-19,17,1.7,1.85,2,1.75,2655,0.19,187.44%
2024-07-0215:52 EST,KOPN,0.885,Call,1,548,2024-07-19,17,0.1,0.13,0.15,0.1,1402,0.39,186.04%
2024-07-0215:59 EST,GME,23.98,Call,40,1862,2024-07-19,17,0.54,0.59,0.64,0.56,20791,0.09,183.67%
2024-07-0215:54 EST,RILY,16.81,Put,7.5,5023,2024-08-16,45,0.3,0.38,0.45,0.35,753,6.67,182.63%
2024-07-0214:34 EST,DJT,31.73,Put,30,514,2025-01-17,199,13.8,13.93,14.05,13.95,1715,0.3,181.09%
2024-07-0215:59 EST,AMC,5.21,Call,10.5,3420,2024-08-02,31,0.14,0.16,0.18,0.16,3726,0.92,179.71%
2024-07-0215:41 EST,NKLA,8.04,Put,9,636,2024-07-19,17,1.71,1.83,1.94,1.55,5336,0.12,178.80%
2024-07-0215:56 EST,AMC,5.21,Call,10,703,2024-08-02,31,0.16,0.17,0.18,0.18,1196,0.59,176.94%
2024-07-0215:58 EST,CLBT,12.12,Call,10,1402,2024-07-19,17,1.2,2.08,2.95,2.1,2563,0.55,176.36%
2024-07-0214:58 EST,INTC,31.07,Put,41,6391,2024-07-19,17,9.85,10.77,11.7,9.9,2824,2.26,176.10%
2024-07-0215:28 EST,EOSE,1.55,Call,2,831,2024-07-19,17,0.06,0.08,0.1,0.1,2467,0.34,175.76%
2024-07-0215:50 EST,LPSN,0.5755,Call,1,604,2025-01-17,199,0.15,0.18,0.2,0.2,1964,0.31,174.91%
2024-07-0215:59 EST,DJT,31.73,Put,20,523,2024-09-20,80,3.2,3.33,3.45,3.25,3059,0.17,169.73%
2024-07-0215:52 EST,AMC,5.21,Call,8,1516,2024-07-19,17,0.13,0.14,0.14,0.14,8875,0.17,169.69%
2024-07-0214:04 EST,EOSE,1.55,Call,1,517,2024-08-16,45,0.46,0.56,0.65,0.54,4929,0.1,168.29%
2024-07-0215:59 EST,WULF,5.05,Call,4,1804,2025-01-17,199,1.9,1.97,2.05,2,19856,0.09,167.65%
2024-07-0215:57 EST,FFIE,0.4342,Call,0.5,601,2026-01-16,563,0.29,0.32,0.34,0.3,15500,0.04,167.04%
2024-07-0213:11 EST,WULF,5.05,Call,4.5,2617,2025-01-17,199,1.7,1.75,1.8,1.8,9898,0.26,163.99%
2024-07-0215:59 EST,GME,23.98,Call,35,1245,2024-07-19,17,0.7,0.74,0.78,0.72,7313,0.17,162.69%
2024-07-0215:13 EST,BYND,6.92,Put,4,3002,2025-01-17,199,1.01,1.11,1.2,1.15,2278,1.32,160.99%
2024-07-0215:39 EST,NIO,4.53,Put,8,674,2024-07-19,17,2.94,3.52,4.1,3.5,3909,0.17,158.81%
2024-07-0212:39 EST,CAN,1.01,Call,4.5,642,2025-01-17,199,0.05,0.1,0.15,0.11,1021,0.63,158.36%
2024-07-0215:56 EST,AMC,5.21,Call,7.5,1240,2024-07-19,17,0.14,0.15,0.16,0.15,3294,0.38,156.27%
2024-07-0215:56 EST,AMC,5.21,Call,9,1328,2024-08-16,45,0.31,0.32,0.33,0.31,1185,1.12,156.16%
2024-07-0215:58 EST,DJT,31.73,Call,50,832,2024-07-19,17,0.5,0.63,0.76,0.55,5458,0.15,155.98%
2024-07-0214:58 EST,SEDG,24.25,Put,100,885,2025-01-17,199,74.35,75.68,77,77.1,274,3.23,154.74%
2024-07-0215:47 EST,UP,3.02,Call,5,902,2024-08-16,45,0.15,0.2,0.25,0.2,867,1.04,154.52%
2024-07-0215:32 EST,ALT,6.74,Call,10,591,2024-08-16,45,0.35,0.38,0.4,0.4,522,1.13,153.95%
2024-07-0215:30 EST,EOSE,1.55,Call,1,670,2024-07-19,17,0.52,0.54,0.57,0.57,4871,0.14,153.75%
2024-07-0215:59 EST,TELL,0.6417,Call,1,558,2025-01-17,199,0.15,0.2,0.25,0.2,29119,0.02,152.73%
2024-07-0215:45 EST,BYND,6.92,Put,2.5,806,2025-01-17,199,0.34,0.38,0.42,0.4,7207,0.11,152.41%
2024-07-0215:40 EST,SIRI,3.1,Put,4,20210,2024-07-19,17,1.01,1.26,1.5,1.04,36019,0.56,152.07%
2024-07-0215:45 EST,UP,3.02,Call,2.5,783,2024-07-19,17,0.5,0.6,0.7,0.68,101,7.75,151.49%
2024-07-0215:51 EST,WBA,11.57,Put,17.5,8555,2024-07-19,17,5.85,6.15,6.45,5.8,5264,1.63,150.37%
2024-07-0215:46 EST,AMC,5.21,Call,8,627,2024-08-02,31,0.23,0.24,0.25,0.24,393,1.6,149.53%
2024-07-0215:02 EST,INTC,31.07,Put,39,2753,2024-07-19,17,7.6,8.52,9.45,7.91,1401,1.97,149.01%
2024-07-0215:50 EST,AMC,5.21,Call,8,1688,2024-08-16,45,0.38,0.39,0.39,0.37,1347,1.25,148.60%
2024-07-0215:48 EST,GME,23.98,Call,32,684,2024-07-19,17,0.85,0.94,1.02,0.88,1478,0.46,148.47%
2024-07-0215:59 EST,ALT,6.74,Call,10,781,2024-07-19,17,0.05,0.1,0.15,0.1,5424,0.14,147.49%
2024-07-0215:52 EST,EOSE,1.55,Call,1.5,1776,2024-07-19,17,0.19,0.21,0.22,0.22,6675,0.27,147.01%
2024-07-0215:57 EST,RILY,16.81,Put,12.5,799,2024-08-16,45,1.2,1.28,1.35,1.3,963,0.83,146.47%
2024-07-0215:54 EST,AMC,5.21,Call,10,1143,2024-09-20,80,0.43,0.45,0.46,0.43,4442,0.26,145.12%
2024-07-0215:57 EST,CHWY,24.87,Call,40,1583,2024-07-19,17,0.28,0.3,0.31,0.28,2944,0.54,145.05%
2024-07-0215:34 EST,AMC,5.21,Call,7,2099,2024-07-19,17,0.17,0.18,0.18,0.19,9150,0.23,145.03%
2024-07-0215:30 EST,DNA,0.3465,Call,0.5,778,2026-01-16,563,0.15,0.18,0.2,0.2,23646,0.03,144.86%
2024-07-0215:56 EST,PLBY,0.7826,Call,2.5,615,2025-01-17,199,0.05,0.08,0.1,0.1,9814,0.06,144.81%
2024-07-0214:58 EST,SEDG,24.25,Put,65,500,2024-09-20,80,39.4,40.68,41.95,41.2,359,1.39,144.70%
2024-07-0215:51 EST,SPWR,2.43,Put,3,1614,2024-07-19,17,0.67,0.68,0.69,0.69,6576,0.25,144.66%
2024-07-0215:15 EST,CIFR,4.58,Call,10,1435,2024-09-20,80,0.25,0.28,0.3,0.28,25373,0.06,144.56%
2024-07-0215:59 EST,GME,23.98,Call,30,8061,2024-07-19,17,1.07,1.11,1.14,1.14,29661,0.27,144.17%
2024-07-0215:59 EST,GME,23.98,Call,30,2018,2024-08-16,45,2.75,2.84,2.93,2.85,11004,0.18,143.72%
2024-07-0215:55 EST,GME,23.98,Call,30,934,2024-08-02,31,1.99,2.09,2.18,2.03,1659,0.56,142.30%
2024-07-0214:58 EST,SEDG,24.25,Put,85,770,2025-01-17,199,59.35,60.68,62,62.54,326,2.36,141.83%
2024-07-0211:23 EST,SPWR,2.43,Put,4,765,2024-09-20,80,1.74,1.8,1.86,1.65,553,1.38,141.18%
2024-07-0215:59 EST,GME,23.98,Call,30,1596,2024-07-26,24,1.53,1.57,1.6,1.62,5468,0.29,141.14%
2024-07-0215:14 EST,OCGN,1.61,Call,1.5,860,2024-07-19,17,0.2,0.25,0.3,0.25,2509,0.34,140.97%
2024-07-0215:59 EST,ANVS,9.28,Call,7.5,609,2024-08-16,45,2.5,2.85,3.2,2.7,271,2.25,140.51%
2024-07-0214:49 EST,WBA,11.57,Put,22.5,990,2024-07-19,17,9.95,10.52,11.1,10.95,987,1,140.46%
2024-07-0213:45 EST,RILY,16.81,Put,11,1343,2024-07-19,17,0.1,0.15,0.2,0.25,978,1.37,139.83%
2024-07-0214:48 EST,U,16.01,Put,36,3160,2024-08-16,45,19.95,20.03,20.1,19.98,1664,1.9,138.36%
2024-07-0215:43 EST,APLD,6.34,Call,5,524,2024-07-19,17,1.4,1.55,1.7,1.55,14558,0.04,137.88%
2024-07-0215:59 EST,AMC,5.21,Call,27,6007,2025-01-17,199,0.25,0.26,0.27,0.25,77051,0.08,137.85%
2024-07-0215:28 EST,EOSE,1.55,Call,1.5,1761,2024-08-16,45,0.28,0.32,0.35,0.32,4269,0.41,137.06%
2024-07-0214:58 EST,SEDG,24.25,Put,80,730,2025-01-17,199,54.35,55.68,57,55.25,316,2.31,136.98%
2024-07-0215:51 EST,AMC,5.21,Call,7,738,2024-08-02,31,0.29,0.31,0.32,0.32,574,1.29,136.82%
2024-07-0215:59 EST,AMC,5.21,Call,7,4754,2024-08-16,45,0.45,0.46,0.47,0.47,1462,3.25,136.17%
2024-07-0214:39 EST,CHWY,24.87,Call,36,970,2024-07-19,17,0.43,0.45,0.47,0.44,162,5.99,136.09%
2024-07-0214:57 EST,INTC,31.07,Put,38,1540,2024-07-19,17,6.35,7.35,8.35,6.9,732,2.1,136.03%
2024-07-0215:48 EST,EOSE,1.55,Call,2,1429,2025-01-17,199,0.44,0.46,0.49,0.49,10277,0.14,135.92%
2024-07-0214:58 EST,SEDG,24.25,Put,95,1439,2025-01-17,199,68.85,70.82,72.8,71.35,458,3.14,135.86%
2024-07-0215:49 EST,SPWR,2.43,Put,4,1225,2025-01-17,199,2.02,2.06,2.1,2.08,910,1.35,135.46%
2024-07-0215:57 EST,AMC,5.21,Call,6.5,980,2024-07-19,17,0.2,0.21,0.22,0.22,2867,0.34,135.28%
2024-07-0215:58 EST,BEEM,5.26,Call,7.5,608,2024-07-19,17,0.1,0.13,0.15,0.1,102,5.96,135.03%
2024-07-0215:47 EST,VTNR,0.61,Call,1,871,2025-01-17,199,0.1,0.15,0.2,0.15,2615,0.33,134.86%
2024-07-0215:30 EST,APLD,6.34,Call,6,567,2024-08-16,45,1.25,1.3,1.35,1.35,733,0.77,134.77%
2024-07-0215:41 EST,GME,23.98,Call,30,502,2024-10-18,108,4.65,4.8,4.95,4.95,4376,0.11,134.54%
2024-07-0215:36 EST,EOSE,1.55,Put,1.5,548,2024-07-19,17,0.06,0.13,0.2,0.15,159,3.45,134.18%
2024-07-0215:58 EST,CHWY,24.87,Call,35,1545,2024-07-19,17,0.48,0.5,0.52,0.5,17346,0.09,133.86%
2024-07-0215:45 EST,WULF,5.05,Call,6,565,2024-08-16,45,0.5,0.53,0.55,0.5,13293,0.04,133.65%
2024-07-0215:55 EST,GME,23.98,Call,28,653,2024-07-19,17,1.3,1.34,1.38,1.37,1976,0.33,133.09%
2024-07-0215:52 EST,MPW,4.03,Put,2.5,626,2024-08-16,45,0.11,0.12,0.13,0.15,2776,0.23,133.04%
2024-07-0211:53 EST,SPWR,2.43,Put,1,1418,2025-01-17,199,0.12,0.14,0.15,0.13,300,4.73,131.79%
2024-07-0215:44 EST,CIFR,4.58,Call,6,2431,2024-09-20,80,0.65,0.68,0.7,0.7,39303,0.06,131.27%
2024-07-0215:59 EST,RILY,16.81,Put,15,5935,2024-08-16,45,2.1,2.13,2.15,2.1,1001,5.93,131.07%
2024-07-0215:36 EST,CHPT,1.43,Put,1.5,2066,2024-07-19,17,0.14,0.17,0.2,0.2,9190,0.22,130.98%
2024-07-0215:39 EST,TMC,1.41,Call,2,1732,2024-08-16,45,0.05,0.08,0.1,0.1,10281,0.17,130.85%
2024-07-0215:52 EST,AMC,5.21,Call,6.5,706,2024-07-26,24,0.27,0.29,0.3,0.29,616,1.15,129.03%
2024-07-0215:37 EST,CHWY,24.87,Call,33,982,2024-07-19,17,0.58,0.64,0.7,0.65,796,1.23,128.95%
2024-07-0215:51 EST,SPWR,2.43,Put,2,3342,2025-01-17,199,0.54,0.56,0.58,0.58,253,13.21,128.59%
2024-07-0215:52 EST,SPWR,2.43,Put,1.5,2018,2025-01-17,199,0.29,0.3,0.31,0.31,1832,1.1,127.14%
2024-07-0215:59 EST,GME,23.98,Call,25,1338,2024-08-16,45,3.7,3.8,3.9,3.8,7454,0.18,127.04%
2024-07-0215:30 EST,AMC,5.21,Call,6,1555,2024-08-09,38,0.49,0.53,0.57,0.57,270,5.76,126.70%
2024-07-0215:54 EST,GME,23.98,Call,27,1006,2024-07-19,17,1.48,1.54,1.6,1.5,1768,0.57,126.17%
2024-07-0215:19 EST,BYND,6.92,Call,40,594,2025-01-17,199,0.16,0.18,0.2,0.17,5101,0.12,125.40%
2024-07-0215:48 EST,UP,3.02,Call,5,506,2024-11-15,136,0.25,0.43,0.6,0.45,445,1.14,125.00%
2024-07-0213:02 EST,SPWR,2.43,Call,4,833,2024-09-20,80,0.13,0.18,0.22,0.2,2178,0.38,124.73%
2024-07-0215:59 EST,CIFR,4.58,Call,5.5,835,2024-07-19,17,0.15,0.18,0.2,0.2,7143,0.12,124.30%
2024-07-0215:59 EST,GME,23.98,Call,24,858,2024-08-16,45,4,4.08,4.15,4.1,1700,0.5,124.26%
2024-07-0215:45 EST,EOSE,1.55,Call,5,4311,2026-01-16,563,0.49,0.5,0.5,0.49,11907,0.36,123.85%
2024-07-0214:27 EST,IREN,14.39,Call,5,960,2024-11-15,136,9.3,9.7,10.1,9.2,5448,0.18,123.80%
2024-07-0215:57 EST,OKLO,8.03,Call,10,542,2024-08-16,45,0.7,0.75,0.8,0.77,1164,0.47,123.66%
2024-07-0214:53 EST,BIG,1.61,Put,1.5,1163,2024-08-16,45,0.15,0.2,0.25,0.25,197,5.9,123.35%
2024-07-0215:57 EST,WULF,5.05,Call,5,1804,2024-07-19,17,0.5,0.53,0.55,0.5,5937,0.3,123.13%
2024-07-0215:30 EST,SLS,1.12,Call,1.5,582,2025-01-17,199,0.25,0.33,0.4,0.3,12322,0.05,122.94%
2024-07-0215:59 EST,MPW,4.03,Put,3,32960,2024-08-16,45,0.2,0.23,0.25,0.22,17587,1.87,121.93%
2024-07-0215:56 EST,AMC,5.21,Call,6,597,2024-08-16,45,0.6,0.62,0.64,0.61,3852,0.15,121.85%
2024-07-0215:56 EST,RIOT,9.72,Call,20,1711,2024-09-20,80,0.38,0.4,0.41,0.39,65734,0.03,121.49%
2024-07-0215:59 EST,CLSK,16.93,Call,30,539,2024-09-20,80,1.05,1.07,1.09,1.06,6741,0.08,121.28%
2024-07-0215:34 EST,LCID,2.75,Put,4.5,595,2026-08-21,780,0.87,2.11,3.35,2.95,1309,0.45,121.26%
2024-07-0214:48 EST,U,16.01,Put,35,890,2024-08-16,45,18.95,19.03,19.1,18.72,718,1.24,121.17%
2024-07-0214:31 EST,BIG,1.61,Put,1.5,791,2024-07-19,17,0.1,0.13,0.15,0.2,223,3.55,120.58%
2024-07-0214:47 EST,NIO,4.53,Put,17.5,670,2025-01-17,199,12.5,13.15,13.8,13,800,0.84,120.48%
2024-07-0215:58 EST,GME,23.98,Call,25,590,2024-07-26,24,2.45,2.51,2.57,2.51,5791,0.1,120.47%
2024-07-0214:03 EST,EOSE,1.55,Call,3,1197,2025-01-17,199,0.17,0.24,0.3,0.25,6856,0.17,120.18%
2024-07-0211:34 EST,BTBT,3.24,Put,3,1034,2024-08-16,45,0.4,0.43,0.45,0.4,462,2.24,119.97%
2024-07-0215:52 EST,EBS,7.49,Call,10,3773,2024-07-19,17,0.1,0.15,0.2,0.15,305,12.37,119.79%
2024-07-0215:40 EST,ARDX,5.28,Put,6,1269,2024-07-19,17,0.8,0.9,1,1,571,2.22,119.78%
2024-07-0210:04 EST,RILY,16.81,Put,30,749,2025-01-17,199,15.1,15.85,16.6,16.02,1190,0.63,119.67%
2024-07-0215:59 EST,AMC,5.21,Call,6,6100,2024-07-19,17,0.26,0.27,0.27,0.28,13661,0.45,119.41%
2024-07-0214:45 EST,LULU,301.67,Put,420,643,2024-07-19,17,113.9,117.9,121.9,117.47,130,4.95,118.90%
2024-07-0215:59 EST,CLSK,16.93,Call,25,609,2025-01-17,199,3.75,3.8,3.85,3.85,9095,0.07,118.83%
2024-07-0215:48 EST,EOSE,1.55,Call,2,1426,2026-01-16,563,0.75,0.78,0.82,0.77,25197,0.06,118.41%
2024-07-0212:23 EST,"NVDA
watching",122.67,Call,17.5,2500,2025-01-17,199,105.4,105.8,106.2,105.35,35020,0.07,118.24%
2024-07-0215:59 EST,GME,23.98,Call,25,2589,2024-07-19,17,1.95,2.01,2.06,2,24317,0.11,118.19%
2024-07-0215:24 EST,NKLA,8.04,Call,14,2000,2025-01-17,199,1.22,1.46,1.71,1.45,2022,0.99,117.88%
2024-07-0215:08 EST,PCT,5.71,Put,5.5,500,2024-08-16,45,0.75,1.1,1.45,0.8,1349,0.37,117.86%
2024-07-0215:46 EST,AMC,5.21,Call,6,557,2024-09-20,80,0.86,0.88,0.89,0.87,8009,0.07,117.85%
2024-07-0215:46 EST,CIFR,4.58,Put,4,5236,2024-07-26,24,0.2,0.25,0.3,0.27,162,32.32,117.64%
2024-07-0215:59 EST,CLSK,16.93,Call,25,1130,2024-09-20,80,1.53,1.58,1.62,1.61,9832,0.11,117.53%
2024-07-0215:59 EST,CHWY,24.87,Call,30,3613,2024-07-19,17,0.9,0.93,0.96,0.93,15332,0.24,117.21%
2024-07-0215:07 EST,SMR,10.93,Put,10,4063,2024-08-16,45,1.05,1.18,1.3,1.25,119,34.14,117.13%
2024-07-0215:57 EST,AMC,5.21,Call,5.5,905,2024-08-09,38,0.63,0.67,0.7,0.67,233,3.88,117.00%
2024-07-0215:50 EST,EOSE,1.55,Call,1.5,668,2025-01-17,199,0.5,0.57,0.63,0.55,12511,0.05,116.96%
2024-07-0215:35 EST,BITF,2.53,Call,5,584,2025-01-17,199,0.35,0.38,0.4,0.37,26169,0.02,116.80%
2024-07-0215:59 EST,CIFR,4.58,Call,5,599,2024-09-20,80,0.85,0.88,0.9,0.85,6417,0.09,116.22%
2024-07-0215:58 EST,CHWY,24.87,Call,45,790,2024-08-16,45,0.32,0.47,0.62,0.45,3188,0.25,116.01%
2024-07-0215:58 EST,CLSK,16.93,Call,20,569,2025-01-17,199,4.75,4.83,4.9,4.84,13599,0.04,115.77%
2024-07-0215:57 EST,AMC,5.21,Call,5.5,528,2024-08-16,45,0.72,0.74,0.76,0.73,1725,0.31,115.64%
