Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
DECK,DeckersOutdoo,887.86,-51.19,-5.45%,1745,11349,84.43%,+200.86%,1039,706,0.6795
FI,FiservInc,147.18,-3.90,-2.58%,3584,33823,65.79%,+197.92%,1928,1656,0.8589
SPHR,SphereEnterta,41.33,+1.62,4.07%,9594,55357,24.88%,+190.64%,9482,112,0.0118
PGR,ProgressiveCo,209.61,+0.12,0.06%,6082,46429,95.74%,+190.31%,1802,4280,2.3751
VET,VermilionEner,10.86,-0.16,-1.45%,2302,78322,59.19%,+185.96%,2288,14,0.0061
NEXT,NextdecadeCor,7.63,-0.11,-1.49%,3573,59747,41.08%,+179.58%,3406,167,0.0490
FIVN,Five9Inc,39.73,-2.08,-4.97%,2548,26387,60.90%,+178.47%,2407,141,0.0586
TOL,TollBrothers,113.6,+3.11,2.81%,12065,51136,31.83%,+167.16%,6047,6018,0.9952
CVI,CvrEnergyInc,24.13,-0.39,-1.59%,1411,18342,76.48%,+166.23%,1032,379,0.3672
ERIC,EricssonADR,6.41,+0.08,1.18%,2257,75839,55.48%,+164.91%,264,1993,7.5492
BEEM,BeamGlobal,7.13,-0.53,-6.92%,1837,9180,69.61%,+163.94%,1800,37,0.0206
MANU,ManchesterUni,16.59,+0.65,4.11%,1717,36232,7.85%,+157.81%,994,723,0.7274
EDU,NewOrientalE,79.97,-0.39,-0.48%,1325,12505,49.08%,+154.32%,1273,52,0.0408
OI,O-IGlassInc,10.35,+0.15,1.42%,1476,13408,83.55%,+150.59%,1351,125,0.0925
DAL,DeltaAirLine,46.82,-0.07,-0.15%,104319,781521,100.00%,+148.94%,65617,38702,0.5898
PEP,PepsicoInc,162.82,+0.92,0.57%,58773,255587,60.27%,+148.73%,29969,28804,0.9611
RSG,RepublicServi,196.4,+1.08,0.55%,1339,9547,49.34%,+144.34%,1260,79,0.0627
WST,WestPharmaceu,317.87,-0.76,-0.24%,1374,7700,99.75%,+141.05%,13,1361,104.6923
NWL,NewellRubberm,5.69,-0.05,-0.87%,4885,93377,78.93%,+136.10%,4256,629,0.1478
HOLI,HollysysAutom,25.25,-0.01,-0.04%,1790,17244,39.84%,+128.03%,2,1788,894.0000
TECK,TeckResources,49.38,+1.10,2.28%,12365,131589,24.19%,+123.88%,3216,9149,2.8448
TRU,Transunion,75.73,-0.60,-0.79%,2022,15619,64.69%,+122.44%,1978,44,0.0222
RF,RegionsFinanc,20.14,+0.02,0.12%,3723,86010,30.28%,+121.34%,2119,1604,0.7570
NOK,NokiaCorpADR,3.92,+0.06,1.55%,10532,293116,32.71%,+119.83%,9950,582,0.0585
DT,DynatraceInc,42.87,-0.31,-0.72%,3529,66176,63.96%,+118.24%,3418,111,0.0325
UWMC,UwmHldgCorp,7.01,+0.14,2.11%,1990,68513,28.45%,+117.72%,548,1442,2.6314
NFE,NewFortressE,19.28,-0.02,-0.10%,10993,130298,99.17%,+116.14%,6211,4782,0.7699
DQ,DaqoNewEnerg,15.76,+0.28,1.81%,3098,38871,77.84%,+112.48%,2902,196,0.0675
OHI,OmegaHealthca,33.83,+0.28,0.83%,4549,48388,54.13%,+111.09%,706,3843,5.4433
CCJ,CamecoCorp,52.74,+3.74,7.64%,46693,326646,73.27%,+105.94%,31125,15568,0.5002
DHI,D.R.Horton,140.04,+4.04,2.97%,10578,68655,71.18%,+105.88%,5812,4766,0.8200
DUK,DukeEnergyCo,102.68,+1.74,1.72%,5229,103995,28.36%,+105.06%,4532,697,0.1538
CMA,ComericaInc,52.05,+0.95,1.86%,13119,120337,38.87%,+103.77%,10596,2523,0.2381
